protein_id	ensg	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	cartilage	caudate	cerebellum	cerebral cortex	cervix	choroid plexus	colon	dorsal raphe	duodenum	endometrium	endometrium 1	endometrium 2	epididymis	esophagus	eye	fallopian tube	gallbladder	hair	heart muscle	hippocampus	hypothalamus	kidney	lactating breast	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	pituitary gland	placenta	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	sole of foot	spleen	stomach 1	stomach 2	testis	thymus	thyroid gland	tonsil	urinary bladder	vagina
ENSP00000333298	ENSG00000185896	2	3	3	3	3	3	0	3	3	3	3	0	3	0	3	0	3	3	3	3	0	3	3	0	3	3	0	3	0	3	3	3	3	3	3	3	3	0	3	3	3	0	3	3	1	3	3	3	2	2	2	0	3	3	3	3	0	3	3	3	3
ENSP00000333496	ENSG00000184408	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000333551	ENSG00000147471	1	3	2	2	3	3	0	1	3	3	2	0	3	0	3	0	2	3	2	2	0	2	3	0	2	3	0	3	0	2	2	2	2	2	1	2	3	0	2	2	3	0	2	2	2	1	2	3	2	1	2	0	3	3	3	3	0	3	2	2	1
ENSP00000333638	ENSG00000185803	0	2	2	1	2	1	0	0	1	2	2	0	2	0	2	0	2	1	2	1	0	1	2	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	3	0	1	2	0	1	0	2	0	0	0	0	0	1	3	2	0	1	0	2	0
ENSP00000333664	ENSG00000060971	1	1	2	1	1	3	0	2	3	2	1	0	1	0	1	0	1	1	1	0	0	3	2	0	2	2	0	2	0	3	2	0	3	0	0	1	1	0	1	0	2	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	2	0
ENSP00000333667	ENSG00000182199	0	2	3	2	2	3	0	1	2	2	2	0	3	0	2	0	2	1	1	2	0	2	2	0	0	2	0	3	0	3	2	3	2	2	0	2	2	0	2	2	3	0	1	2	0	2	2	3	0	0	0	0	3	2	2	2	0	1	3	2	1
ENSP00000333800	ENSG00000183695	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	2	1	0
ENSP00000333821	ENSG00000185231	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000333920	ENSG00000125482	0	2	2	1	2	2	0	2	3	3	3	0	3	0	3	0	3	2	3	3	0	3	2	0	2	2	0	3	0	2	2	2	3	3	2	3	1	0	2	3	3	0	2	2	2	3	3	3	2	2	2	0	2	2	2	3	0	3	3	2	3
ENSP00000333994	ENSG00000244734	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000334003	ENSG00000164066	1	2	2	2	2	2	0	1	3	3	2	0	3	0	2	0	2	3	2	2	0	2	2	0	2	2	0	3	0	2	1	2	2	2	2	1	3	0	2	2	2	0	1	3	3	2	2	2	3	2	2	0	0	2	2	2	0	3	2	2	2
ENSP00000334021	ENSG00000187240	0	2	3	1	2	3	0	2	3	1	2	0	3	0	3	0	3	3	2	2	0	3	3	0	2	2	0	3	0	2	3	0	3	2	0	3	3	0	0	1	3	0	1	1	2	2	2	3	2	0	2	0	2	3	3	3	0	2	0	2	2
ENSP00000334061	ENSG00000094631	0	2	2	2	3	2	0	1	2	2	2	0	2	0	2	0	2	1	2	1	0	2	2	0	1	0	0	2	0	1	2	1	2	1	1	2	2	0	2	2	2	0	2	1	0	3	2	2	0	0	0	0	1	2	2	3	0	2	2	2	2
ENSP00000334100	ENSG00000182473	3	3	2	2	3	3	0	3	3	3	3	0	3	0	3	0	2	3	2	2	0	3	3	0	2	3	0	2	0	2	2	2	3	2	1	2	2	0	3	2	3	0	2	2	2	3	2	3	2	2	2	0	2	2	2	3	0	2	3	3	2
ENSP00000334198	ENSG00000196557	0	2	1	1	1	2	0	1	1	1	1	0	1	0	1	0	1	1	1	2	0	2	2	0	1	1	0	1	0	1	2	1	2	1	2	0	1	0	1	2	1	0	1	0	2	0	1	1	0	1	2	0	0	1	1	3	0	2	1	2	1
ENSP00000334280	ENSG00000138162	1	2	2	1	2	1	0	2	1	2	2	0	2	0	2	0	2	2	2	2	0	1	2	0	1	0	0	2	0	2	2	0	2	1	1	1	2	0	3	2	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	3	0	2	1	2	2
ENSP00000334319	ENSG00000186472	1	1	2	0	2	1	0	1	0	2	0	0	1	0	2	0	1	1	2	0	0	1	2	0	2	1	0	1	0	1	1	1	1	0	2	2	0	0	1	1	2	0	1	2	2	1	0	2	0	1	1	0	0	2	1	1	0	2	1	2	0
ENSP00000334424	ENSG00000242110	0	1	1	0	0	3	0	0	2	1	1	0	2	0	1	0	1	0	1	0	0	1	1	0	0	1	0	3	0	2	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	1	1	0	0	0	0	0	1	1	2	0	0	0	0	0
ENSP00000334474	ENSG00000108175	0	1	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	0	2	0	1	0
ENSP00000334849	ENSG00000109066	0	2	2	1	2	2	0	2	2	3	2	0	2	0	2	0	2	1	2	2	0	2	2	0	2	2	0	2	0	2	3	0	2	2	2	2	2	0	3	2	2	0	2	2	2	2	2	2	1	0	1	0	0	2	2	2	0	2	2	2	2
ENSP00000334876	ENSG00000185974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
